provider_number,network,facility_name,five_star_date,five_star,five_star_data_availability_code,address_line_1,address_line_2,city,state,zip,county,phone_number,profit_or_nonprofit,chain_owned,chain_organization,late_shift,of_dialysis_stations,offers_incenter_hemodialysis,offers_peritoneal_dialysis,offers_home_hemodialysis_training,percentage_of_medicare_patients_with_hgb10_gdl,percentage_of_medicare_patients_with_hgb12_gdl,percentage_of_adult_patients_with_serum_phosphorus_less_tha_1,percentage_of_adult_patients_with_serum_phosphorus_between__2,percentage_of_adult_patients_with_serum_phosphorus_between__3,percentage_of_adult_patients_with_serum_phosphorus_between__4,percentage_of_adult_patients_with_serum_phosphorus_greater__5,mortality_rate_facility,hospitalization_rate_facility,standard_infection_ratio,percentage_of_adult_patients_with_long_term_catheter_in_use,standardized_first_kidney_transplant_waitlist_ratio
102732,7,"NORTH MELBOURNE DIALYSIS",01/01/2016-12/31/2019,3,1,"14 SUNTREE PLACE SUITE 102",,MELBOURNE,FL,32940,BREVARD,"(321) 253-9033",Non-Profit,Yes,"CENTRAL FLORIDA KIDNEY CENTERS",0,10,1,0,0,9,0,14,30,28,22,6,23.8,170.1,2.99,13,
102840,7,"DAVITA FLORIDA RENAL CENTER",01/01/2016-12/31/2019,3,1,"5300 W FLAGLER STREET",,"CORAL GABLES",FL,33134,MIAMI-DADE,"(305) 443-5702",Profit,Yes,DAVITA,0,20,1,0,0,18,0,7,25,33,20,15,21.2,216.1,0.69,11,0.82
052856,18,"DAVITA WASHINGTON PLAZA DIALYSIS CENTER",01/01/2016-12/31/2019,3,1,"516-522 E. WASHINGTON BLVD.",,"LOS ANGELES",CA,90015,"LOS ANGELES","(213) 749-2433",Profit,Yes,DAVITA,0,25,1,0,0,37,0,8,22,32,18,20,24.7,263.4,0.11,10,0
052857,17,"DAVITA FLORIN DIALYSIS CENTER",01/01/2016-12/31/2019,3,1,"7000 STOCKTON BLVD.",,SACRAMENTO,CA,95823,SACRAMENTO,"(916) 424-3990",Profit,Yes,DAVITA,1,31,1,0,0,16,0,6,23,34,21,16,30.5,163.7,0.41,13,1.48
052858,18,"DAVITA KENNETH HAHN PLAZA DIALYSIS CENTER",01/01/2016-12/31/2019,3,1,"11854 S. WILMINGTON  AVENUE",,"LOS ANGELES",CA,90059,"LOS ANGELES","(323) 567-5077",Profit,Yes,DAVITA,0,20,1,0,0,29,0,5,14,26,23,32,29.9,280.9,0.61,21,0.29
052859,18,"DAVITA WEST GLENDALE DIALYSIS",01/01/2016-12/31/2019,5,1,"1427 S. GLENDALE AVENUE",,GLENDALE,CA,91205,"LOS ANGELES","(818) 241-0016",Profit,Yes,DAVITA,1,19,1,0,1,16,0,6,26,40,17,10,15.2,159.2,0.75,8,0.23
052860,18,"FMC-DIALYSIS SERVICES CHANNEL ISLANDS",01/01/2016-12/31/2019,4,1,"2679 S. SAVIERS ROAD, SUITE B",,OXNARD,CA,93033,VENTURA,"(805) 486-2929",Profit,Yes,"FRESENIUS MEDICAL CARE",0,20,1,0,0,16,0,11,32,29,21,6,17.1,168.6,0.9,9,
112763,6,"FMC CUMMING",01/01/2016-12/31/2019,3,1,"1070 BUFORD HIGHWAY",,CUMMING,GA,30041,FORSYTH,"(678) 455-5798",Profit,Yes,"FRESENIUS MEDICAL CARE",1,15,1,1,0,24,0,4,19,24,31,22,17.5,234.9,0.51,9,
112765,6,"DAVITA NORTHWEST GEORGIA DIALYSIS",01/01/2016-12/31/2019,5,1,"260 HOSPITAL ROAD",,CANTON,GA,30114,CHEROKEE,"(678) 880-3939",Profit,Yes,DAVITA,0,19,1,1,1,24,0,6,22,40,19,14,24.4,171.9,0.27,7,1.6
102793,7,"DAVITA OCALA REGIONAL KIDNEY CENTER-NORTH",01/01/2016-12/31/2019,3,1,"2620 WEST HWY 316",,CITRA,FL,32113,MARION,"(352) 591-4680",Profit,Yes,DAVITA,1,25,1,1,0,29,0,5,18,33,26,17,24.8,233.1,0.53,11,0
102794,7,"ARA - WEST JACKSONVILLE LLC",01/01/2016-12/31/2019,5,1,"425 N LEE STREET SUITE 103",,JACKSONVILLE,FL,32204,DUVAL,"(904) 598-2711",Profit,Yes,"AMERICAN RENAL ASSOCIATES",0,29,1,1,1,52,0,4,30,37,20,8,17.5,171.5,1.13,12,
102795,7,"FMC DIALYSIS SERVICES - NORTH BOYNTON BEACH",01/01/2016-12/31/2019,5,1,"4965 LECHALET BLVD",,"BOYNTON BEACH",FL,33436,"PALM BEACH","(561) 734-5585",Profit,Yes,"FRESENIUS MEDICAL CARE",1,17,1,0,0,13,0,12,31,38,13,6,18.6,175.7,0.23,8,
112519,6,"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.",01/01/2016-12/31/2019,4,1,"1078 PLAZA AVE",,EASTMAN,GA,31023,DODGE,"(478) 374-4777",Profit,Yes,"FRESENIUS MEDICAL CARE",0,20,1,0,0,32,0,9,24,32,19,16,29,260.5,0.75,8,
112523,6,"DAVITA SOUTHWEST ATLANTA DIALYSIS CENTER",01/01/2016-12/31/2019,2,1,"3620 MARTIN LUTHER KING JR DRIVE SW",,ATLANTA,GA,30331,FULTON,"(404) 696-7303",Profit,Yes,DAVITA,0,34,1,0,0,25,0,6,18,32,25,20,28.3,256.8,2.06,15,
112524,6,"US RENAL CARE DALTON DIALYSIS",01/01/2016-12/31/2019,3,1,"1009 PROFESSIONAL BLVD",,DALTON,GA,30720,WHITFIELD,"(706) 278-1070",Profit,Yes,"US RENAL CARE, INC.",0,25,1,1,1,9,0,5,24,39,16,16,21.3,146.1,0.53,21,1.44
112672,6,"FMC ATLANTA-DOWNTOWN",01/01/2016-12/31/2019,3,1,"231 NW 14TH ST NW",,ATLANTA,GA,30318,FULTON,"(404) 892-8554",Profit,Yes,"FRESENIUS MEDICAL CARE",0,21,1,1,0,16,0,7,18,24,29,22,20.2,182.3,0.2,7,1.26
112674,6,"ATHENS KIDNEY CENTER",01/01/2016-12/31/2019,3,1,"1440 NORTH CHASE STREET",,ATHENS,GA,30601,CLARKE,"(706) 227-2110",Profit,No,INDEPENDENT,0,18,1,0,0,67,0,3,14,30,37,16,27,186.9,0,10,
102841,7,"UNIVERSAL KIDNEY CENTER OF PEMBROKE PINES MIRAMAR",01/01/2016-12/31/2019,4,1,"18004 NW 6TH STREET",,HOLLYWOOD,FL,33029,BROWARD,"(954) 433-9400",Profit,No,INDEPENDENT,0,21,1,1,1,50,0,14,26,30,29,1,20.9,146.3,0,11,
102843,7,"FRESENIUS KIDNEY CARE DELRAY BEACH",01/01/2016-12/31/2019,3,1,"5130 LINTON BLVD SUITE G4",,"DELRAY BEACH",FL,33484,"PALM BEACH","(561) 498-5959",Profit,Yes,"FRESENIUS MEDICAL CARE",0,16,1,1,0,19,0,9,29,39,15,8,16.4,188.9,1.2,11,
102844,7,"ARA - NAPLES DIALYSIS CENTER LLC",01/01/2016-12/31/2019,4,1,"4529 EXECUTIVE DRIVE",,NAPLES,FL,34119,COLLIER,"(239) 566-7180",Profit,Yes,"AMERICAN RENAL ASSOCIATES",1,20,1,1,1,32,0,4,28,37,18,14,19.9,185.8,0.47,11,1.43
102845,7,"DAVITA WEST PENSACOLA DIALYSIS CENTER",01/01/2016-12/31/2019,5,1,"598 FAIRFIELD DRIVE",,PENSACOLA,FL,32506,ESCAMBIA,"(850) 453-6066",Profit,Yes,DAVITA,1,16,1,0,0,17,0,10,22,38,16,15,27.9,153.8,0.31,7,0.56
102847,7,"DAVITA CAPE CORAL SOUTH DIALYSIS",01/01/2016-12/31/2019,4,1,"3046 DEL PRADO BLVD SOUTH  SUITE 4A",,"CAPE CORAL",FL,33904,LEE,"(239) 549-0339",Profit,Yes,DAVITA,0,17,1,1,1,19,0,6,27,33,19,15,21.3,271.3,0.59,8,1.28
052861,18,"BIO-MEDICAL APPLICATIONS OF CALIFORNIA, INC.",01/01/2016-12/31/2019,4,1,"2020 E. FIRST STREET, SUITE 100",,"SANTA ANA",CA,92705,ORANGE,"(714) 972-1236",Profit,Yes,"FRESENIUS MEDICAL CARE",1,26,1,0,0,25,0,6,27,38,20,9,41.4,263.6,0.59,7,0.71
052862,18,"FMC-NORTH ORANGE COUNTY",01/01/2016-12/31/2019,4,1,"511 N. BROOKHURST STREET, SUITE 100",,ANAHEIM,CA,92801,ORANGE,"(714) 778-0488",Profit,Yes,"FRESENIUS MEDICAL CARE",1,18,1,0,0,,,7,29,40,16,7,41.7,291.5,0.96,6,1
052863,18,"FMC-RAI-NORTH RIVERSIDE-RIALTO",01/01/2016-12/31/2019,3,1,"1850 N. RIVERSIDE AVENUE, SUITE 150",,RIALTO,CA,92376,"SAN BERNARDINO","(909) 879-1185",Profit,Yes,"FRESENIUS MEDICAL CARE",0,21,1,0,0,12,0,11,29,35,17,9,21.9,232.3,0.35,9,0.55
052864,18,"FMC-SAN YSIDRO DIALYSIS CENTER",01/01/2016-12/31/2019,5,1,"3010 DEL SOL BLVD.",,"SAN DIEGO",CA,92154,"SAN DIEGO","(619) 429-9690",Profit,Yes,"FRESENIUS MEDICAL CARE",1,20,1,0,0,0,0,12,33,37,14,4,17.6,126.2,0.35,3,0.87
052865,18,"DAVITA CENTURY CITY DIALYSIS CENTER",01/01/2016-12/31/2019,3,1,"10630 SANTA MONICA BLVD.",,"LOS ANGELES",CA,90025,"LOS ANGELES","(310) 954-2700",Profit,Yes,DAVITA,0,40,1,1,1,17,6,7,22,31,24,16,15.1,168.4,0,16,2.17
102800,7,"FMC-MIAMI SHORES, LLC",01/01/2016-12/31/2019,3,1,"9999 NE 2ND AVE","SUITE 119","MIAMI SHORES",FL,33138,MIAMI-DADE,"(786) 621-4888",Profit,Yes,"FRESENIUS MEDICAL CARE",0,19,1,1,1,14,0,10,25,26,24,15,22.4,251.4,0.75,23,0.62
102801,7,"UNIVERSAL KIDNEY CENTER OF DAVIE",01/01/2016-12/31/2019,4,1,"11570 W STATE ROAD 84",,DAVIE,FL,33325,BROWARD,"(954) 727-9100",Profit,No,INDEPENDENT,0,21,1,1,0,67,0,9,21,32,33,5,12.4,139.6,0,16,
102802,7,"FMC - ROYAL PALM BEACH",01/01/2016-12/31/2019,4,1,"6901  OKEECHOBEE BLVD #D19",,"WEST PALM BEACH",FL,33411,"PALM BEACH","(561) 616-3335",Profit,Yes,"FRESENIUS MEDICAL CARE",0,18,1,1,1,20,0,11,27,33,20,10,16,176.7,0.37,14,1.48
103502,7,"MAYO CLINIC OUTPATIENT DIALYSIS",01/01/2016-12/31/2019,5,1,"5658 WORRALL WAY",,JACKSONVILLE,FL,32224,DUVAL,"(904) 956-2020",Non-Profit,No,INDEPENDENT,0,24,1,1,1,22,0,4,31,38,19,8,16.1,143.6,0,12,3.43
103503,7,"SHANDS AT UNIV OF FL OUTPATIENT DIALYSIS",01/01/2016-12/31/2019,2,1,"2409 SW ARCHER RD",,GAINESVILLE,FL,32608,ALACHUA,"(352) 265-6890",Non-Profit,No,INDEPENDENT,0,26,1,1,1,7,0,9,22,21,29,19,26.9,212,0.24,17,0.35
112675,6,"US RENAL CARE COBB RENAL CENTER",01/01/2016-12/31/2019,2,1,"506 ROSWELL STREET","SUITE 100",MARIETTA,GA,30060,COBB,"(770) 426-5110",Profit,Yes,"US RENAL CARE, INC.",0,16,1,1,0,22,0,12,29,30,18,11,19.9,244.5,0,17,0.66
112676,6,"FMC MUSCOGEE COUNTY",01/01/2016-12/31/2019,3,1,"1851 MANCHESTER EXPRESSWAY",,COLUMBUS,GA,31904,MUSCOGEE,"(706) 323-6162",Profit,Yes,"FRESENIUS MEDICAL CARE",0,16,1,1,0,21,0,10,24,30,21,15,23.7,152.6,0,13,0.44
112677,6,"DCI ATLANTA HOME DIALYSIS",01/01/2016-12/31/2019,1,1,"120 PIEDMONT AVENUE STE 300",,ATLANTA,GA,30303,FULTON,"(404) 230-2873",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,0,0,1,0,,,9,19,27,21,24,21.3,245.3,,,2.42
112679,6,"FMC CLAXTON DIALYSIS CENTER",01/01/2016-12/31/2019,4,1,"312 NORTH RIVER STREET",,CLAXTON,GA,30417,EVANS,"(912) 739-9449",Profit,Yes,"FRESENIUS MEDICAL CARE",0,16,1,1,1,29,0,12,30,29,20,9,26.2,114.5,0.72,14,
112774,6,"DAVITA SPIVEY PERITONEAL AND HOME DIALYSIS CENTER",01/01/2016-12/31/2019,3,1,"7444 HANNOVER PARKWAY","SUITE 150",STOCKBRIDGE,GA,30281,CLAYTON,"(770) 507-0988",Profit,Yes,DAVITA,0,2,0,1,1,30,0,6,23,33,22,16,14.1,241,,4,
112559,6,"DAVITA FORT VALLEY DIALYSIS CENTER",01/01/2016-12/31/2019,5,1,"557 BLUEBIRD BLVD",,"FORT VALLEY",GA,31030,PEACH,"(478) 825-7208",Profit,Yes,DAVITA,0,13,1,0,0,9,0,6,25,33,20,16,27.2,184.7,0.3,4,
112561,6,"DAVITA ATLANTA DIALYSIS",01/01/2016-12/31/2019,2,1,"567 NORTH AVE NE STE 200",,ATLANTA,GA,30308,FULTON,"(404) 853-1662",Profit,Yes,DAVITA,0,28,1,0,0,19,0,8,19,30,24,18,31.4,182.6,0.17,18,2.09
112562,6,"DAVITA PONCE CITY DIALYSIS",01/01/2016-12/31/2019,3,1,"567 NORTH AVE NE SUITE 100",,ATLANTA,GA,30308,FULTON,"(404) 745-9581",Profit,Yes,DAVITA,0,25,1,1,0,14,0,13,20,34,15,18,20.1,279.1,0.48,11,
112563,6,"FMC TUCKER",01/01/2016-12/31/2019,3,1,"4845 LAVISTA ROAD",,TUCKER,GA,30084,,"(770) 491-7177",Profit,Yes,"FRESENIUS MEDICAL CARE",0,16,1,0,0,11,0,7,24,36,20,14,22.7,211.6,0,8,
112566,6,"DAVITA LINDEN DIALYSIS",01/01/2016-12/31/2019,3,1,"121 LINDEN AVENUE NE",,ATLANTA,GA,30308,FULTON,"(404) 817-9700",Profit,Yes,DAVITA,0,20,1,1,1,29,4,12,20,25,20,23,23.7,203.6,0,16,0.44
112568,6,"DAVITA ATLANTA AIRPORT DIALYSIS",01/01/2016-12/31/2019,3,1,"2685 METROPOLITAN PARKWAY SW","SUITE F",ATLANTA,GA,30315,FULTON,"(404) 761-2630",Profit,Yes,DAVITA,0,20,1,1,0,16,0,7,20,34,20,20,25.7,171.9,0.95,12,0.72
052866,18,"DAVITA SAN YSIDRO DIALYSIS",01/01/2016-12/31/2019,4,1,"1445 30TH STREET, SUITE A AND B",,"SAN DIEGO",CA,92154,"SAN DIEGO","(619) 575-3901",Profit,Yes,DAVITA,0,41,1,1,0,13,0,7,26,34,20,13,19.4,181.5,0.53,7,0.25
052867,18,"EAST PALMDALE DIALYSIS CENTER",01/01/2016-12/31/2019,1,1,"2710 E. PALMDALE BLVD.",,PALMDALE,CA,93550,"LOS ANGELES","(661) 456-1500",Profit,No,INDEPENDENT,0,20,1,1,0,29,0,6,20,28,29,18,35,234.1,0.56,26,0.24
052868,18,"QUEENS DIALYSIS UNIT, INC.",01/01/2016-12/31/2019,3,1,"1135 S. SUNSET AVENUE, SUITE 103",,"WEST COVINA",CA,91790,"LOS ANGELES","(626) 337-4245",Profit,No,INDEPENDENT,0,21,1,0,0,36,0,5,35,38,13,9,24,226,0.8,14,0.59
052845,17,"DAVITA SOUTH HAYWARD DIALYSIS",01/01/2016-12/31/2019,3,1,"254 JACKSON STREET",,HAYWARD,CA,94544,ALAMEDA,"(510) 583-1255",Profit,Yes,DAVITA,0,24,1,0,0,27,0,10,31,32,15,12,30.6,204.8,0.17,7,1.83
052847,18,"FMC-WEST COVINA KIDNEY CENTER",01/01/2016-12/31/2019,4,1,"1540 W. COVINA PARKWAY",,"WEST COVINA",CA,91790,"LOS ANGELES","(626) 337-8007",Profit,Yes,"FRESENIUS MEDICAL CARE",0,20,1,0,0,4,0,9,29,37,17,8,34,292.1,0.68,8,0.38
112314,6,"COLQUITT REGIONAL MEDICAL CENTER DIALYSIS",01/01/2016-12/31/2019,2,1,"449 31ST AVENUE SE",,MOULTRIE,GA,31768,COLQUITT,"(229) 891-9333",Non-Profit,No,INDEPENDENT,0,26,1,0,0,0,9,6,25,36,23,10,27,262.2,0.42,18,0.35
112315,6,"TIFT REGIONAL MEDICAL CENTER DIALYSIS CENTER",01/01/2016-12/31/2019,3,1,"1010 EDGEFIELD DRIVE",,TIFTON,GA,31794,TIFT,"(229) 353-6350",Non-Profit,No,INDEPENDENT,0,22,1,1,0,13,0,10,26,26,23,15,27.1,170.5,1.18,11,0.11
112317,6,"CRISP REGIONAL HOSPITAL DIALYSIS UNIT",01/01/2016-12/31/2019,5,1,"1302 N 5TH STREET EXT",,CORDELE,GA,31015,CRISP,"(229) 273-2335",Non-Profit,No,INDEPENDENT,0,18,1,0,0,20,0,7,25,29,28,10,22.9,187.2,0.5,6,0.86
112321,6,"ARCHBOLD HOME DIALYSIS",01/01/2016-12/31/2019,,260,"708 SOUTH BROAD STREET",,THOMASVILLE,GA,31792,THOMAS,"(229) 226-4541",Non-Profit,No,INDEPENDENT,1,4,1,1,0,,,10,31,20,22,17,33.2,251.7,,,0.68
112643,6,"DAVITA ATLANTA WEST DIALYSIS",01/01/2016-12/31/2019,2,1,"2538 MARTIN LUTHER KING JR DRIVE SW",,ATLANTA,GA,30311,FULTON,"(404) 699-1300",Profit,Yes,DAVITA,0,20,1,0,0,3,0,4,24,32,20,20,25,248.3,0,16,0
112775,6,"DCI BOXWOOD PLACE",01/01/2016-12/31/2019,5,1,"1711 BOXWOOD PLACE",,COLUMBUS,GA,31906,MUSCOGEE,"(706) 565-8392",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,28,1,0,0,10,1,10,25,24,29,13,24.3,113.4,0.33,6,0.87
112776,6,"US RENAL CARE GRAY DIALYSIS",01/01/2016-12/31/2019,2,1,"1002 BOULDER DRIVE",,GRAY,GA,31032,JONES,"(478) 986-3066",Profit,Yes,"US RENAL CARE, INC.",0,18,1,1,0,19,0,8,25,39,18,9,19.6,141.8,0.29,29,
112777,6,"DAVITA MOUNTAIN PARK DIALYSIS",01/01/2016-12/31/2019,4,1,"5235 MEMORIAL DRIVE",,"STONE MOUNTAIN",GA,30083,,"(404) 296-1344",Profit,Yes,DAVITA,0,12,1,0,0,30,0,3,24,37,23,12,27.2,233,0.64,10,1
112778,6,"DAVITA MEDLOCK BRIDGE DIALYSIS",01/01/2016-12/31/2019,4,1,"10680 MEDLOCK BRIDGE RD  STE 103",,DULUTH,GA,30097,GWINNETT,"(770) 622-2167",Profit,Yes,DAVITA,1,16,1,1,0,15,0,6,22,37,21,13,17.9,125.6,0.45,10,0.62
112779,6,"NORTH GWINNETT DIALYSIS",01/01/2016-12/31/2019,5,1,"185 OLD PEACHTREE ROAD NW",,SUWANEE,GA,30024,GWINNETT,"(678) 714-4941",Profit,Yes,"FRESENIUS MEDICAL CARE",0,20,1,1,0,13,0,8,29,31,24,8,19.1,140.4,0.49,12,2.54
102821,7,"US RENAL CARE UPTOWN DIALYSIS",01/01/2016-12/31/2019,2,1,"2700 IMOKALEE ROAD","SUITE 22",NAPLES,FL,34110,COLLIER,"(239) 596-3044",Profit,Yes,"US RENAL CARE, INC.",0,17,1,1,0,21,0,9,30,31,15,15,23.2,142.8,0.15,22,1.78
152608,9,"DSI - KNOX DIALYSIS",01/01/2016-12/31/2019,5,1,"1008 S EDGEWOOD DRIVE",,KNOX,IN,46534,STARKE,"(574) 772-2480",Profit,Yes,"US RENAL CARE, INC.",0,9,1,0,0,69,0,7,28,37,15,13,13.5,129.4,0,10,
152609,9,"FMC - CARMEL",01/01/2016-12/31/2019,3,1,"12400 NORTH MERIDIAN ST., STE 200",,CARMEL,IN,46032,HAMILTON,"(317) 575-8312",Profit,Yes,"FRESENIUS MEDICAL CARE",1,12,1,0,0,26,4,5,22,25,30,19,21.8,252.4,0,25,1.76
152705,9,"FRESENIUS KIDNEY CARE NEW ALBANY",01/01/2016-12/31/2019,,260,"604 MT. TALBOT RD",,"NEW ALBANY",IN,47150,,"(812) 944-5040",Profit,Yes,FKC,0,17,1,1,1,,,,,,,,,,,,
153522,9,"RILEY HOSPITAL - PEDS DIALYSIS",01/01/2016-12/31/2019,,260,"705 RILEY HOSPITAL DRIVE","ROC DIALYSIS RM 1240",INDIANAPOLIS,IN,46202,MARION,"(317) 944-4303",Non-Profit,No,INDEPENDENT,0,8,1,1,1,,,,,,,,,154.3,,,0.28
162306,12,"UNIVERSITY OF IOWA HOSPITAL & CLINICS DIALYSIS",01/01/2016-12/31/2019,5,1,"200 HAWKINS DRIVE",W336-4AZ,"IOWA CITY",IA,52242,JOHNSON,"(319) 356-3047",Non-Profit,No,INDEPENDENT,1,20,1,1,1,73,0,9,28,28,23,12,15.4,163.1,3.23,7,0.84
162313,12,"MERCY MEDICAL CENTER - CLINTON",01/01/2016-12/31/2019,5,1,"638 S. BLUFF BLVD.",,CLINTON,IA,52732,CLINTON,"(563) 244-3683",Non-Profit,No,INDEPENDENT,0,13,1,0,0,8,0,6,17,30,31,16,14.6,106,0.21,17,
152517,9,"FMC - CANAL DIALYSIS",01/01/2016-12/31/2019,5,1,"1308 MINNICH ROAD",,"NEW HAVEN",IN,46774,ALLEN,"(260) 749-1004",Profit,Yes,"FRESENIUS MEDICAL CARE",0,12,1,0,0,42,0,9,20,24,28,18,25.2,142.7,2.8,7,
152518,9,"FMC - NORTHEAST INDIANA KIDNEY CENTER-WARSAW",01/01/2016-12/31/2019,3,1,"3334 LAKE CITY HIGHWAY",,WARSAW,IN,46580,KOSCIUSKO,"(574) 269-3553",Profit,Yes,"FRESENIUS MEDICAL CARE",1,12,1,1,1,12,0,5,21,29,27,18,19,156.2,0,15,1.41
152520,9,"FMC - NEPHROLOGY  - MISHAWAKA",01/01/2016-12/31/2019,5,1,"710 PARK PLACE",,MISHAWAKA,IN,46545,,"(574) 273-6776",Profit,Yes,"FRESENIUS MEDICAL CARE",1,26,1,0,0,16,0,6,22,27,29,16,15.9,155.3,0.44,10,0.84
152629,9,"DAVITA PRINCETON DIALYSIS",01/01/2016-12/31/2019,5,1,"2227 SHERMAN DRIVE",,PRINCETON,IN,47670,GIBSON,"(812) 385-2906",Profit,Yes,DAVITA,0,12,1,0,0,6,0,9,25,36,18,12,16.8,161.3,0.28,13,
152630,9,"DAVITA PORTAGE DIALYSIS",01/01/2016-12/31/2019,4,1,"5823 US HWY 6",,PORTAGE,IN,46368,PORTER,"(219) 764-0564",Profit,Yes,DAVITA,0,16,1,1,1,30,0,4,17,29,25,24,19.7,158,1.01,11,0
152631,9,"FMC - HOBART",01/01/2016-12/31/2019,5,1,"1330 S. WISCONSIN STREET",,HOBART,IN,46342,LAKE,"(219) 947-9289",Profit,Yes,"FRESENIUS MEDICAL CARE",0,24,1,0,0,26,0,6,27,35,23,8,17.8,185.8,1.15,5,
142717,10,"DAVITA KENWOOD DIALYSIS",01/01/2016-12/31/2019,4,1,"4529 S. COTTAGE GROVE AVENUE, STE 100",,CHICAGO,IL,60653,COOK,"(773) 285-3621",Profit,Yes,DAVITA,0,30,1,0,0,14,0,7,28,33,20,12,15.4,145.4,0.99,14,0.96
142718,10,"DAVITA STONY ISLAND DIALYSIS",01/01/2016-12/31/2019,3,1,"8725 SOUTH STONY ISLAND AVE",,CHICAGO,IL,60617,COOK,"(773) 221-7320",Profit,Yes,DAVITA,1,32,1,1,0,17,0,5,16,30,30,19,25,169.3,0,11,0.78
142719,10,"DAVITA WEST LAWN DIALYSIS",01/01/2016-12/31/2019,3,1,"7000-C S. PULASKI",,CHICAGO,IL,60629,COOK,"(773) 284-5324",Profit,Yes,DAVITA,0,12,1,0,0,26,5,6,25,35,21,13,17,191.6,0.21,15,1.65
142720,10,"DAVITA KENWOOD HOME TRAINING PD",01/01/2016-12/31/2019,,260,"4259 COTTAGE GROVE AVE","SUITE 200",CHICAGO,IL,60653,COOK,"(773) 924-5948",Profit,Yes,DAVITA,0,7,0,1,1,50,0,8,22,29,24,17,13.1,141.8,,,
112870,6,"DAVITA MCFARLAND DIALYSIS",01/01/2016-12/31/2019,3,1,"6225 ATLANTA HIGHWAY","SUITE 117",ALPHARETTA,GA,30004,FULTON,"(770) 569-1275",Profit,Yes,DAVITA,0,12,1,1,1,0,4,5,28,41,17,10,21.9,192,0.48,10,3.38
112893,6,"USRC WINDER, LLC",01/01/2016-12/31/2019,2,1,"429 LOGANVILLE HIGHWAY",,WINDER,GA,30680,BARROW,"(678) 425-9568",Profit,Yes,"US RENAL CARE, INC.",0,11,1,1,0,38,0,9,31,37,11,12,21.3,160.9,0.46,22,
112894,6,"NEPHRON CORPORATION",01/01/2016-12/31/2019,1,1,"4585 NELSON BROGDON BLVD",,BUFORD,GA,30518,GWINNETT,"(770) 962-1231",Profit,Yes,NRAA,0,12,1,1,0,,,6,22,23,36,14,18.2,265.8,,23,
142523,10,"FMC - WEST BELMONT",01/01/2016-12/31/2019,4,1,"4943 W BELMONT AVE.",,CHICAGO,IL,60641,COOK,"(773) 685-7500",Profit,Yes,"FRESENIUS MEDICAL CARE",0,17,1,0,0,7,0,12,25,26,18,19,18.6,178.2,1.06,13,
142524,10,"FMC - BRIDGEPORT",01/01/2016-12/31/2019,3,1,"825 WEST 35TH STREET",,CHICAGO,IL,60609,COOK,"(773) 890-4330",Profit,Yes,"FRESENIUS MEDICAL CARE",0,27,1,1,0,19,1,11,22,23,25,20,18,219.2,0.11,16,1.03
142525,10,"FMC - ROLLING MEADOWS",01/01/2016-12/31/2019,5,1,"4180 WINNETKA AVE.",,"ROLLING MEADOWS",IL,60008,COOK,"(847) 394-6250",Profit,Yes,"FRESENIUS MEDICAL CARE",0,25,1,0,0,15,0,9,29,29,22,11,14.4,241.3,0.65,11,1.13
162314,12,"SAINT ANTHONYS REGIONAL HOSPITAL",01/01/2016-12/31/2019,5,1,"311 S CLARK ST","DIALYSIS UNIT",CARROLL,IA,51401,CARROLL,"(712) 794-5278",Non-Profit,No,INDEPENDENT,0,12,1,0,0,11,0,8,25,35,20,13,22.2,171.6,0.36,17,
162324,12,"WAYNE COUNTY HOSPITAL ESRD",01/01/2016-12/31/2019,5,1,"417 S. EAST ST.",,CORYDON,IA,50060,WAYNE,"(641) 872-5325",Non-Profit,No,INDEPENDENT,0,5,1,0,0,,,13,29,27,20,12,18.1,75.9,0,10,
142757,10,"DAVITA SILVERBRIDGE HOME TRAINING",01/01/2016-12/31/2019,,260,"2410 ALFT LANE, STE 101",,ELGIN,IL,60124,KANE,"(847) 289-5628",Profit,Yes,DAVITA,0,4,0,1,1,,,13,30,37,14,6,29.6,167.1,,,
142758,10,"SAH DIALYSIS CLINIC @26TH ST",01/01/2016-12/31/2019,4,1,"3059 W 26TH ST",,CHICAGO,IL,60623,COOK,"(773) 696-9470",Non-Profit,No,INDEPENDENT,0,15,1,0,0,18,0,6,30,33,21,10,15.2,207.2,1.23,15,
142759,10,"IROQUOIS KIDNEY CENTER",01/01/2016-12/31/2019,3,1,"209 S FIFTH ST",,WATSEKA,IL,60970,IROQUOIS,"(815) 432-4300",Profit,No,INDEPENDENT,0,0,0,1,0,,,13,20,32,29,6,19.4,177.1,,,
142760,10,"HOME DIALYSIS SERVICES - ELGIN",01/01/2016-12/31/2019,,260,"442 N IL RTE 31",,"CRYSTAL LAKE",IL,60012,MCHENRY,"(224) 238-3211",Profit,No,INDEPENDENT,0,0,0,1,1,67,0,10,24,34,25,8,19.1,281.8,,,1.56
152632,9,"FMC - DYER",01/01/2016-12/31/2019,4,1,"2150 GETTLER STREET, SUITE 105",,DYER,IN,46311,LAKE,"(219) 322-3710",Profit,Yes,"FRESENIUS MEDICAL CARE",0,24,1,0,0,31,0,13,29,32,16,10,22.2,180,0.69,16,
