facility_name,cms_certification_number_ccn,alternate_ccn,address,city,state,zip_code,network,longterm_catheter_achievement_measure_rate,standardized_fistula_achievement_measure_rate,vascular_access_combined_measure_score,ktv_comprehensive_achievement_measure_rate,hypercalcemia_achievement_measure_rate,nhsn_bsi_achievement_measure_ratio,nhsn_dialysis_event_reporting_measure_score,ich_cahps_neph_comm_and_caring_achievement_rate,ich_cahps_quality_of_dialysis_care_and_ops_achievement_rate,ich_cahps_providing_info_to_patients_achievement_rate,ich_cahps_overall_rating_of_neph_achievement_rate,ich_cahps_overall_rating_of_dialysis_staff_achievement_rate,ich_cahps_overall_rating_of_dialysis_facility_achievement_rate,standardized_readmission_ratio_srr_measure_score,srr_achievement_measure_ratio,strr_achievement_measure_ratio,standardized_hospitalization_ratio_shr_measure_score,shr_achievement_measure_ratio,clinical_depression_screening_and_followup_measure_score,ultrafiltration_measure_score,total_performance_score,py2021_payment_reduction_percentage
"DaVita Downtown Greenville Dialysis",422567,-,"297 PETE HOLLIS BLVD.",GREENVILLE,SC,29601,6,7.18%,53.73%,5,98.59%,0.14%,1.169,10,69.29%,68.74%,86.92%,61.19%,79.66%,82.14%,4,1.041,1.082,5,0.965,10,9,62,0.00%
"DaVita Downtown Houston Dialysis Center",452899,-,"2207 CRAWFORD ST",HOUSTON,TX,77002,14,7.18%,71.82%,8,97.46%,1.09%,0.218,10,79.78%,59.68%,80.63%,63.45%,46.09%,50.45%,3,1.088,2.008,3,1.075,10,1,47,0.50%
"DaVita Downtown Midland Dialysis",742522,-,"511 W MISSOURI AVE",Midland,TX,79701,14,11.10%,44.25%,3,100.00%,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.728,"No Rate","No Score","No Rate",10,10,79,0.00%
"DaVita Downtown Pensacola Dialysis",682529,-,"700 E CERVANTES ST #A",PENSACOLA,FL,32501,7,5.10%,66.92%,8,100.00%,0.80%,0.792,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,0.99,1.362,4,1.04,10,7,60,0.00%
"DaVita Downtown San Antonio Dialysis",672556,-,"615 EAST QUINCY ST.","SAN ANTONIO",TX,78215,14,9.86%,60.99%,6,98.20%,0.50%,0.554,10,68.97%,65.74%,87.48%,65.38%,73.43%,85.49%,2,1.173,0.475,5,0.965,10,3,62,0.00%
"DaVita Downtown Spokane Renal Center",502547,-,"601 WEST 5TH AVE STE 101",SPOKANE,WA,99204,16,19.70%,58.47%,2,99.04%,0.41%,0.325,10,75.44%,74.58%,92.80%,81.09%,90.38%,93.59%,10,0.438,0.121,8,0.781,10,7,83,0.00%
"DaVita Driftwood Dialysis",142747,-,"1808 S WEST AVE",FREEPORT,IL,61032,10,9.44%,64.87%,7,98.58%,0.85%,1.515,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.065,1.196,4,1.018,10,6,55,0.50%
"DaVita DT4 Dialysis",372607,-,"4800 WEST SAN ANTONIO STREET","BROKEN ARROW",OK,74012,13,22.95%,58.18%,2,100.00%,0.74%,1.251,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.816,"No Rate","No Score","No Rate","No Score",7,62,0.00%
"DaVita Dublin Dialysis",362728,-,"6770 PERIMETER DRIVE",DUBLIN,OH,43016,9,7.17%,75.15%,9,100.00%,0.00%,0.589,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.763,0,7,0.821,10,10,86,0.00%
"DaVita Duke St Dialysis",392887,-,"901 E. MAIN STREET, SUITE 12",Palmyra,PA,17078,4,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"DaVita Dulaney Towson Dialysis Center",212612,-,"113 WEST ROAD",TOWSON,MD,21204,5,13.33%,68.99%,6,93.41%,0.72%,0.707,10,79.71%,59.44%,79.94%,75.71%,61.70%,55.96%,2,1.19,0.922,5,0.942,10,3,47,0.50%
"DaVita Duluth Dialysis",852551,-,"3170 PEACHTREE INDUSTRIAL BLVD, STE 100",Duluth,GA,30097,6,7.32%,61.22%,6,95.91%,2.62%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",9,0.679,10,8,76,0.00%
"DaVita Dumas Dialysis",672682,-,"109 BINKLEY AVE",DUMAS,TX,79029,14,12.99%,45.66%,3,95.17%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.805,0,7,0.839,10,0,69,0.00%
"DaVita Duncan Dialysis Center",372522,-,"2845 W ELK",DUNCAN,OK,73533,13,7.94%,74.02%,9,96.69%,1.54%,0.371,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.723,0,10,0.667,10,1,79,0.00%
"DaVita Duncanville Dialysis",672635,-,"270 E HIGHWAY 67, SUITE 100",DUNCANVILLE,TX,75137,14,5.38%,62.09%,7,99.13%,0.17%,0.678,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.915,0.348,8,0.797,10,7,75,0.00%
"DaVita Dundalk Dialysis",212616,-,"14 COMMERCE ST",DUNDALK,MD,21222,5,14.56%,50.51%,2,99.74%,0.26%,0.712,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.6,0.965,6,0.906,10,9,71,0.00%
"DaVita Dunkirk Dialysis",332767,-,"3958 VINEYARD DR",DUNKIRK,NY,14048,2,4.92%,70.01%,9,96.65%,0.35%,1.373,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.516,1.285,10,0.574,10,6,73,0.00%
"DaVita Dunmore Dialysis",392723,-,"1212 ONEAL HIGHWAY",Dunmore,PA,18512,4,16.45%,71.99%,5,95.76%,0.32%,0.415,10,82.96%,81.19%,90.82%,76.98%,78.49%,79.42%,4,1.029,0.541,0,1.255,10,8,60,0.00%
"DaVita Dunn Avenue Dialysis",682566,-,"1215 DUNN AVE #8",JACKSONVILLE,FL,32218,7,17.78%,54.45%,2,97.75%,3.06%,0.697,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.574,0,0,1.73,10,1,40,1.00%
"DaVita Durango Dialysis Center",062547,-,"72 SUTTLE ST STE D",DURANGO,CO,81303,15,9.52%,78.79%,9,93.79%,0.58%,0.8,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.856,0.547,5,0.94,10,0,59,0.00%
"DaVita Durant Dialysis Center",372565,-,"411 WESTSIDE DR",DURANT,OK,74701,13,11.50%,62.01%,5,98.38%,0.25%,1.151,10,69.37%,57.44%,85.87%,65.11%,70.47%,91.90%,2,1.152,1.598,4,1.025,10,6,49,0.50%
"DaVita Durham Corners Dialysis",312607,-,"241 DURHAM AVENUE","SOUTH PLAINFIELD",NJ,07080,3,9.70%,64.07%,6,99.39%,0.12%,0.203,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.865,1.516,7,0.824,10,7,70,0.00%
"DaVita Durham Dialysis",342550,-,"201 HOOD STREET",DURHAM,NC,27701,6,11.09%,66.39%,6,99.15%,0.47%,0.95,10,72.35%,63.20%,80.50%,60.30%,65.94%,68.29%,1,1.248,0.209,1,1.195,10,8,54,0.50%
"DaVita Durham Regional Dialysis",342734,-,"3901 N. ROXBORO STREET STE. 108",DURHAM,NC,27704,6,21.80%,56.93%,1,99.45%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.56,"No Rate",7,0.853,10,10,81,0.00%
"DaVita Durham West Dialysis",342616,-,"4307 WESTERN PARK PLACE - SUITE 8",DURHAM,NC,27705,6,7.86%,72.85%,9,99.13%,0.61%,1.016,10,62.37%,42.58%,75.13%,52.14%,31.38%,38.32%,1,1.2,0.245,4,1.026,10,8,54,0.50%
"DaVita Dyersburg Dialysis",442533,-,"1575 PARR AVENUE - SUITE A",DYERSBURG,TN,38024,8,16.07%,70.56%,6,96.66%,0.27%,0.701,10,54.72%,59.38%,80.46%,51.99%,51.48%,53.58%,3,1.092,3.016,4,1.04,10,5,43,1.00%
"DaVita Dyker Heights Dialysis Center",332596,-,"1435 86TH STREET",BROOKLYN,NY,11228,2,9.11%,82.16%,9,99.18%,0.69%,0.343,10,65.87%,62.61%,80.96%,53.44%,56.33%,63.80%,6,0.899,0.741,9,0.734,10,0,69,0.00%
"DaVita Eagan Dialysis Unit",242557,-,"2750 BLUE WATER RD, SUITE 300",EAGAN,MN,55121,11,17.78%,55.97%,2,97.16%,1.42%,0.46,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.789,0,5,0.95,10,5,64,0.00%
"DaVita Eagle Highlands Dialysis",152658,-,"6925 SHORE TERRACE",INDIANAPOLIS,IN,46254,9,11.29%,65.66%,6,96.10%,0.54%,0.23,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.485,0.298,3,1.058,10,4,54,0.50%
"DaVita Eagles Dialysis",152682,-,"5301 PEARL DRIVE",EVANSVILLE,IN,47712,9,12.50%,70.80%,7,100.00%,1.11%,1.415,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.744,0.944,1,1.197,10,10,61,0.00%
"DaVita Eagles Landing Dialysis",852543,-,"270 VILLAGE CENTER PKWY",STOCKBRIDGE,GA,30281,6,14.29%,62.26%,5,96.62%,1.02%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.41,0,4,1.011,10,8,61,0.00%
"DaVita Eagle Valley Dialysis",392821,-,"166 EAGLES GLEN PLAZA","East Stroudsburg",PA,18301,4,8.55%,73.81%,8,98.14%,1.19%,0.597,10,63.17%,74.82%,83.92%,63.60%,89.14%,94.91%,5,0.931,0.786,6,0.921,10,2,66,0.00%
"DaVita E.A. Motto Dialysis",162559,-,"1228 E RUSHOLME ST #1000",DAVENPORT,IA,52803,12,18.29%,64.35%,3,99.08%,0.20%,1.176,10,55.11%,59.58%,88.00%,50.34%,49.60%,57.99%,7,0.819,1.28,7,0.846,10,7,58,0.00%
"DaVita Earhart Dialysis",192738,-,"7730 EARHART BLVD","NEW ORLEANS",LA,70125,13,13.31%,58.75%,4,98.60%,0.28%,0.525,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.772,1.032,5,0.964,10,0,60,0.00%
"DaVita East Aurora Dialysis",062540,-,"482 S CHAMBERS RD",AURORA,CO,80017,15,9.93%,79.76%,9,97.69%,2.59%,0.751,10,69.80%,57.29%,82.05%,64.23%,58.76%,52.08%,7,0.784,0.74,5,0.975,10,1,59,0.00%
"DaVita East Baton Rouge Dialysis",192616,-,"1333 ONEAL LN","BATON ROUGE",LA,70816,13,5.15%,56.07%,6,97.68%,0.66%,0.967,10,60.23%,63.91%,80.19%,51.79%,68.62%,78.82%,9,0.655,0.627,6,0.901,10,7,67,0.00%
"DaVita East Bay Peritoneal Dialysis Center",052675,-,"13939 E 14TH STREET STE 110","SAN LEANDRO",CA,94578,17,"No Rate","No Rate","No Score",97.18%,0.82%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",7,0.846,10,"No Score",73,0.00%
"DaVita East Brunswick Dialysis",312638,-,"629 CRANBURY RD","EAST BRUNSWICK",NJ,08816,3,14.08%,76.22%,7,97.86%,0.18%,0.161,10,62.78%,58.54%,75.23%,54.52%,58.48%,71.05%,6,0.908,0.297,7,0.844,10,3,68,0.00%
"DaVita Eastchester Road Dialysis Center",332656,-,"LIBERTY R.C. INC. - 1515 JARRETT PLACE",BRONX,NY,10461,2,17.47%,61.57%,3,96.76%,1.05%,0.734,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.168,0.531,3,1.111,10,1,46,0.50%
"DaVita East China Dialysis",232718,-,"4180 HOSPITAL DR","EAST CHINA",MI,48054,11,6.69%,64.20%,7,99.41%,0.58%,1.522,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.443,0.64,0,1.366,10,8,47,0.50%
"DaVita East Cobb Dialysis",112572,-,"4880 LOWER ROSWELL RD - SUITE 770",MARIETTA,GA,30068,6,12.23%,64.74%,5,98.37%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.615,0.706,4,1.032,10,7,77,0.00%
"DaVita East Dearborn Dialysis",232631,-,"13200 W WARREN AVE - SUITE A",DEARBORN,MI,48126,11,9.84%,60.70%,6,96.42%,1.78%,0.428,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.289,1.48,0,1.579,10,0,37,1.00%
"DaVita East Dekalb Dialysis",112715,-,"2853 CANDLER ROAD, SUITE 203",DECATUR,GA,30034,6,11.77%,46.32%,3,94.86%,0.78%,0,10,68.61%,52.35%,77.97%,46.81%,34.17%,31.66%,0,1.471,0.712,0,1.468,10,0,33,1.50%
"DaVita East Des Moines Dialysis",162533,-,"1301 PENNSYLVANIA AVE STE 208","DES MOINES",IA,50316,12,12.39%,60.30%,5,98.89%,1.08%,0.244,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.875,1.427,7,0.851,10,8,67,0.00%
"DaVita East Dialysis",672558,-,"11989 PELLICANO DRIVE","EL PASO",TX,79936,14,5.31%,70.29%,9,98.11%,0.49%,0,10,70.78%,56.91%,78.93%,63.41%,65.81%,69.57%,4,1.046,1.183,2,1.294,10,1,58,0.00%
"DaVita East End Dialysis Center",492534,-,"2201 E MAIN ST",RICHMOND,VA,23223,5,16.18%,46.99%,1,95.95%,0.89%,1.041,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.387,0.345,2,1.147,10,4,40,1.00%
"DaVita East End Pittsburgh Dialysis",392748,-,"7714 PENN AVENUE",Pittsburgh,PA,15221,4,16.01%,60.45%,4,98.23%,0.00%,0.201,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.564,2.423,0,1.561,10,5,42,1.00%
"DaVita Eastern Boulevard Dialysis",212691,-,"246 EASTERN BLVD N STE 105",HAGERSTOWN,MD,21740,5,3.56%,62.01%,7,99.13%,0.69%,0.912,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.85,0.747,7,0.842,10,10,71,0.00%
"DaVita Eastern Kentucky Dialysis",182538,-,"167  WEDDINGTON BRANCH ROAD",PIKEVILLE,KY,41501,9,12.71%,71.66%,7,96.68%,0.97%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.244,3.194,4,1.123,10,2,51,0.50%
"DaVita Eastern Maine Dialysis",202514,-,"EASTERN MAINE DIALYSIS - 11 SHORT STREET",ELLSWORTH,ME,04605,1,10.26%,67.79%,7,98.02%,0.81%,0.55,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.204,0,8,0.794,10,6,68,0.00%
"DaVita East Evansville Dialysis",152569,-,"1312 PROFESSIONAL BOULEVARD SUITE 100",EVANSVILLE,IN,47714,9,10.69%,55.15%,4,96.51%,0.69%,1.048,10,73.34%,65.33%,87.87%,76.88%,69.85%,66.18%,6,0.864,0.737,2,1.158,10,4,53,0.50%
"DaVita East Ft Lauderdale Dialysis Center",102805,-,"1301 S ANDREWS AVE - SUITE 101","FORT LAUDERDALE",FL,33315,7,16.91%,59.80%,3,95.77%,0.08%,0.389,10,71.27%,66.35%,81.99%,64.20%,62.97%,69.22%,0,1.359,1.653,0,1.514,10,2,36,1.00%
"DaVita Eastgate Dialysis",362522,-,"4435 AICHOLTZ ROAD, SUITE 800A",CINCINNATI,OH,45245,9,13.77%,50.35%,3,99.14%,0.00%,1.329,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.01,0.428,5,0.946,10,5,58,0.00%
"DaVita Eastgate Home Training",362702,-,"4435 AICHOLTZ DRIVE, SUITE 800B",CINCINNATI,OH,45245,9,"No Rate","No Rate","No Score",93.93%,1.92%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.632,0.284,4,1.045,10,"No Score",60,0.00%
"DaVita East Georgia Dialysis",112710,-,"1989 STAMBUK LANE - SUITE A",STATESBORO,GA,30458,6,7.61%,53.36%,5,97.60%,0.14%,0.43,10,74.37%,52.17%,78.76%,70.68%,48.98%,62.27%,5,0.957,0.544,7,0.855,10,1,60,0.00%
"DaVita East Islip Dialysis",332752,-,"200 CARLETON AVENUE","EAST ISLIP",NY,11730,2,13.16%,71.87%,6,98.80%,1.09%,0.854,10,69.48%,64.90%,87.75%,54.41%,64.22%,69.00%,1,1.216,1.515,3,1.067,10,7,49,0.50%
"DaVita Eastlake Dialysis",112553,-,"1757 CANDLER ROAD SE",DECATUR,GA,30032,6,10.63%,46.64%,3,96.79%,1.26%,0.309,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.462,1.088,0,1.486,10,0,37,1.00%
"DaVita Eastland Dialysis",262626,-,"19101 E VALLEY VIEW PKWY STE E",INDEPENDENCE,MO,64055,12,4.29%,73.21%,10,99.56%,0.14%,1.155,10,69.08%,76.94%,92.75%,59.79%,88.16%,94.40%,5,0.963,0.35,0,1.307,10,9,67,0.00%
"DaVita East LA Plaza Dialysis",052622,-,"1700 CESAR E. CHAVEZ AVE., SUITE L-100","Los Angeles",CA,90033,18,13.21%,73.16%,7,97.18%,0.65%,0.582,10,64.87%,56.67%,77.88%,52.41%,53.72%,60.88%,0,1.271,1.434,2,1.169,10,0,39,1.00%
"DaVita East Macon Dialysis Center",112602,-,"165 EMERY HIGHWAY SUITE 101",MACON,GA,31217,6,7.80%,59.23%,6,97.01%,0.78%,0.583,10,43.04%,52.71%,80.30%,36.37%,47.38%,49.10%,4,1.034,0.973,5,0.976,10,1,48,0.50%
"DaVita Easton Dialysis Center",212512,-,"500 CADMUS LN, SUITE 201",EASTON,MD,21601,5,6.46%,48.17%,5,99.54%,0.34%,0.27,10,82.39%,66.49%,82.44%,71.34%,65.58%,72.93%,8,0.761,1.189,10,0.557,10,8,77,0.00%
"DaVita East Orange Dialysis",312522,-,"14-20 PROSPECT STREET","EAST ORANGE",NJ,07017,3,9.91%,60.34%,6,96.68%,1.76%,0.46,10,60.92%,63.41%,83.49%,36.03%,61.80%,72.24%,5,0.927,1.311,2,1.123,10,0,46,0.50%
"DaVita East Paterson Dialysis",312643,-,"680 BROADWAY - STE 103",PATERSON,NJ,07514,3,16.27%,75.34%,6,99.25%,0.37%,0.169,10,63.40%,64.88%,82.69%,59.44%,66.57%,65.48%,2,1.132,1.669,0,1.307,10,8,50,0.50%
"DaVita East Point Dialysis Center",112655,-,"2669 CHURCH STREET","EAST POINT",GA,30344,6,10.86%,54.56%,4,99.75%,0.50%,0,10,65.53%,47.10%,67.17%,56.80%,39.80%,44.26%,3,1.123,0.452,8,0.739,10,7,62,0.00%
"DaVita Eastridge Dialysis",552848,-,"3501 E CAPITOL EXPRESSWAY","SAN JOSE",CA,95122,17,9.10%,62.68%,6,99.07%,1.88%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.948,"No Rate",6,0.917,10,9,64,0.00%
"DaVita East River Road Dialysis",242569,-,"5301 E RIVER RD NE - SUITE 117",FRIDLEY,MN,55421,11,4.77%,58.52%,7,98.68%,1.08%,1.057,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.645,1.261,9,0.709,10,8,72,0.00%
"DaVita East Rochester Dialysis",332730,-,"445 WEST COMMERCIAL STREET","EAST ROCHESTER",NY,14445,2,21.62%,62.77%,3,99.18%,3.56%,0.55,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.688,0.274,5,0.969,10,0,65,0.00%
"DaVita East Sunrise Dialysis",292554,-,"1750 E DESERT INN ROAD - STE 100","LAS VEGAS",NV,89169,15,26.01%,52.25%,2,99.38%,0.62%,0.542,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.991,0.253,2,1.265,10,9,62,0.00%
"DaVita East Tallahassee Home Training",682602,-,"2417 MILL CREEK LN - UNIT 3",TALLAHASSEE,FL,32308,7,"No Rate","No Rate","No Score",98.30%,1.98%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.419,"No Rate",1,1.243,10,"No Score",65,0.00%
"DaVita East Tampa Dialysis",102886,-,"1701 E 9TH AVENUE","YBOR CITY",FL,33605,7,13.19%,60.79%,4,97.70%,0.70%,0.957,10,72.46%,59.78%,78.79%,65.74%,46.51%,42.86%,0,1.493,2.05,0,1.583,10,5,34,1.50%
"DaVita East Valley Dialysis",242589,-,"14050 PILOT KNOB RD STE 100","APPLE VALLEY",MN,55124,11,11.06%,69.76%,7,95.85%,0.99%,0.697,10,63.25%,56.05%,87.26%,52.16%,64.57%,59.10%,5,0.944,0.589,5,0.964,10,8,59,0.00%
"DaVita East Wenatchee Dialysis",502569,-,"300 N COLORADO AVE","EAST WENATCHEE",WA,98802,16,11.83%,38.54%,3,99.47%,0.69%,1.343,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.861,0.492,10,0.521,10,9,70,0.00%
"DaVita East Wichita Dialysis Center",172519,-,"320 N. HILLSIDE",Wichita,KS,67214,12,5.12%,72.66%,10,98.16%,0.08%,1.303,10,73.12%,62.89%,82.68%,69.50%,60.09%,61.73%,8,0.769,0.697,8,0.775,10,1,70,0.00%
"DaVita Eaton Canyon Dialysis",052613,-,"2551 E. WASHINGTON BLVD.",Pasadena,CA,91107,18,10.56%,70.23%,7,97.87%,0.79%,0.36,10,70.62%,57.92%,79.88%,58.46%,53.37%,54.99%,2,1.151,1.113,4,1.046,10,7,53,0.50%
"DaVita Eaton Dialysis",362703,-,"105 EAST WASHINGTON JACKSON ROAD",EATON,OH,45320,9,22.39%,71.27%,4,99.63%,0.00%,0.407,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.853,0.461,4,1.002,10,10,71,0.00%
"DaVita Echo Valley Dialysis",502582,-,"198 PONDEROSA RD",COLVILLE,WA,99114,16,7.99%,80.83%,9,96.20%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate",0.328,10,0.241,9,10,91,0.00%
"DaVita Eden Prairie Dialysis",242556,-,"14852 SCENIC HEIGHTS ROAD - SUITE 255","EDEN PRAIRIE",MN,55344,11,8.53%,53.74%,4,99.18%,0.00%,1.734,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.007,0.98,8,0.76,10,9,68,0.00%
"DaVita Edens Home Dialysis",142687,-,"8950 GROSS POINT ROAD, STE 300",SKOKIE,IL,60077,10,"No Rate","No Rate","No Score",91.17%,0.49%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.576,1.733,5,1.031,10,"No Score",36,1.00%
"DaVita Edenton Dialysis",342541,-,"312 MEDICAL ARTS DR",EDENTON,NC,27932,6,9.35%,60.63%,6,100.00%,0.70%,1.666,10,66.65%,72.23%,92.55%,58.80%,79.46%,85.33%,7,0.787,1.166,10,0.627,10,10,72,0.00%
"DAVITA - EDGEMONT DIALYSIS",142847,-,"8 VIEUX CARRE DRIVE","EAST ST LOUIS",IL,62201,10,5.47%,53.75%,6,94.96%,2.44%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.04,"No Rate",6,0.871,10,6,49,0.50%
"DaVita Edge River Dialysis",032644,-,"1197 S REDONDO CENTER DR",YUMA,AZ,85365,15,11.60%,68.66%,6,97.05%,2.24%,1.2,10,65.74%,63.06%,80.35%,61.35%,65.47%,71.69%,10,0.587,1.248,10,0.667,10,0,61,0.00%
"DaVita Edgewood Dialysis",212731,-,"1415 S. MOUNTAIN RD - SUITE 105",JOPPA,MD,21085,5,11.31%,68.52%,7,97.55%,0.36%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.427,0.676,7,0.817,10,6,66,0.00%
"DaVita Edina Dialysis Center",242501,-,"6565 FRANCE AVE S - SUITE 100",EDINA,MN,55435,11,11.99%,64.06%,5,99.25%,0.77%,0.615,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,0.986,0.292,0,1.402,10,7,59,0.00%
"DaVita Edinburg Citrus Grove Dialysis",672852,-,"404 S. VETERANS BLVD, STE D",EDINBURG,TX,78539,14,16.42%,52.66%,2,100.00%,0.00%,1.276,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.594,0,0,1.269,10,10,49,0.50%
"DaVita Edinburg Renal Center",452764,-,"3902 S. JACKSON RD.",EDINBURG,TX,78539,14,14.33%,60.59%,4,98.54%,0.45%,0.895,10,76.33%,72.35%,77.66%,68.52%,69.91%,76.04%,3,1.072,1.023,1,1.238,10,3,50,0.50%
"DaVita Edison Dialysis",312559,-,"29 MERIDIAN ROAD",EDISON,NJ,08820,3,12.14%,62.03%,5,99.83%,0.09%,0.451,10,77.44%,79.85%,90.90%,83.59%,90.00%,92.60%,0,1.359,1.147,8,0.737,10,9,68,0.00%
"DaVita Edmond Dialysis Center",372541,-,"50 S BAUMANN AVE",EDMOND,OK,73034,13,10.67%,72.67%,8,98.91%,3.36%,1.156,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.548,0,1,1.191,10,3,50,0.50%
"DaVita Edwardsville Dialysis",142701,-,"235 SOUTH BUCHANAN STREET",EDWARDSVILLE,IL,62025,10,8.00%,67.38%,7,97.51%,1.77%,0.472,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.377,0,9,0.733,10,5,81,0.00%
"DaVita Effingham Dialysis",142580,-,"904 MEDICAL PARK DRIVE, SUITE 1",EFFINGHAM,IL,62401,10,8.49%,68.26%,8,96.41%,0.00%,0.288,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.875,1.955,9,0.699,10,0,65,0.00%
"DaVita Effingham North Dialysis",112661,-,"1451 A GA HWY 21 SOUTH",SPRINGFIELD,GA,31329,6,1.76%,60.96%,7,100.00%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.333,0.309,9,0.704,10,10,93,0.00%
"DaVita Eighth Street Dialysis",092513,-,"920 BLADENSBURG ROAD NE",WASHINGTON,DC,20002,5,8.37%,60.09%,6,95.47%,1.79%,0.168,10,63.86%,42.56%,73.82%,55.40%,31.80%,40.44%,2,1.136,1.125,5,0.975,10,0,42,1.00%
"DaVita Elberton Dialysis Center",112545,-,"894 ELBERT STREET",ELBERTON,GA,30635,6,5.38%,61.64%,7,99.06%,0.16%,0.513,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.492,0.316,9,0.673,10,8,86,0.00%
"DaVita El Camino Dialysis",552831,-,"412 WEST EL CAMINO REAL","MOUNTAIN VIEW",CA,94043,17,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"DaVita El Campo Dialysis",672645,-,"307 SANDY CORNER ROAD","EL CAMPO",TX,77437,14,9.87%,75.31%,9,98.16%,0.00%,0.992,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.578,2.643,5,0.971,10,5,66,0.00%
"DaVita El Cerrito Dialysis",052786,-,"10690 SAN PABLO AVENUE","EL CERRITO",CA,94530,17,9.98%,60.06%,6,95.93%,0.43%,0.785,10,58.20%,70.82%,76.52%,48.32%,62.94%,65.77%,2,1.176,0.913,5,0.964,10,0,47,0.50%
